Name,Rating,Review Count,Price
"Amazon Fire TV Stick with Alexa Voice Remote (includes TV controls), free & live TV without cable or satellite, HD streaming device",4.7 out of 5 stars,"429,812",No price
"All-new Amazon Fire TV Stick 4K streaming device, more than 1.5 million movies and TV episodes, supports Wi-Fi 6, watch free & live TV",4.5 out of 5 stars,973,$49.99
"All-new Amazon Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",4.5 out of 5 stars,"2,022",$59.99
"Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Charcoal",4.7 out of 5 stars,"68,345",$49.99
"Blink Video Doorbell | 1080p HD video, motion detection alerts, battery or wired, Works with Alexa (Black)",4.3 out of 5 stars,"119,368",No price
"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)",4.4 out of 5 stars,"265,598",$17.38
"Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Cloud Blue",4.7 out of 5 stars,"52,726",$59.99
"Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Charcoal",4.7 out of 5 stars,"79,863",$59.49
"All-new Ring Indoor Cam (2nd Gen) | latest generation, 2023 release | 1080p HD Video & Color Night Vision, Two-Way Talk, and Manual Audio & Video Privacy Cover | White",4.6 out of 5 stars,"5,590",$59.99
"INSIGNIA 32-inch Class F20 Series Smart HD 720p Fire TV with Alexa Voice Remote (NS-32F201NA23, 2022 Model)",4.6 out of 5 stars,"11,940",$89.99
"All-new Echo Show 5 (3rd Gen, 2023 release) | Smart display with deeper bass and clearer sound | Charcoal",4.5 out of 5 stars,"10,908",$89.99
Ring Chime,4.6 out of 5 stars,"29,128",$34.99
Ring Rechargeable Battery Pack,4.7 out of 5 stars,"117,937",$34.99
"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",4.7 out of 5 stars,"44,625",No price
"Blink Outdoor 4 (4th Gen) + Blink Mini – Smart security camera, two-way talk, HD live view, motion detection, set up in minutes, Works with Alexa – 2 camera system + Mini (Black)",4.2 out of 5 stars,"2,465",No price
Introducing Echo Pop | Full sound compact smart speaker with Alexa | Charcoal,4.7 out of 5 stars,"17,727",$39.99
"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 3 cameras (White)",4.4 out of 5 stars,"265,598",No price
"Amazon Fire 7 Kids tablet, ages 3-7. Top-selling 7"" kids tablet on Amazon - 2022 | ad-free content with parental controls included, 10-hr battery, 16 GB, Blue",4.5 out of 5 stars,"12,311",$109.99
Echo Pop Charcoal with Amazon Smart Plug,4.6 out of 5 stars,16,No price
"Amazon Fire TV Stick Lite, easy HD streaming, free & live TV, exclusive content and perks included with Prime, Alexa Voice Remote Lite",4.7 out of 5 stars,"50,996",$29.99
"Certified Refurbished Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",4.5 out of 5 stars,"3,224",$27.99
Blink Add-On Sync Module 2,4.5 out of 5 stars,"34,094",$34.99
Ring Chime Pro,4.6 out of 5 stars,"47,227",$59.99
"Amazon Fire 7 tablet, 7” display, read and watch, under $60 with 10-hour battery life, (2022 release), 16 GB, Black",4.5 out of 5 stars,"12,288",$59.99
"Certified Refurbished Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Black",4.5 out of 5 stars,"6,106",$67.98
Made for Amazon SanDisk 128GB microSD Memory Card for Fire Tablets and Fire -TV,4.6 out of 5 stars,"85,185",No price
"Amazon Alexa Voice Remote Pro, includes remote finder, TV controls, backlit buttons, requires compatible Fire TV device",4.5 out of 5 stars,"9,189",$34.99
"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",4.7 out of 5 stars,"12,827",$51.13
"Ring Video Doorbell Wired – Convenient features in a compact design, pair with Ring Chime to hear audio alerts in your home (existing doorbell wiring required)",4.5 out of 5 stars,"73,136",$22.05
"Ring Battery Doorbell Plus | Head-to-Toe HD+ Video, motion detection & alerts, and Two-Way Talk (2023 release)",4.5 out of 5 stars,"2,569",$127.83
"Echo Dot (5th Gen, 2022 release) Kids | Designed for kids, with parental controls | Owl",4.7 out of 5 stars,"8,991",$59.99
"Made for Amazon, USB Power Cable (Eliminates the Need for AC Adapter)",4.6 out of 5 stars,"56,399",$24.99
"Blink Outdoor (3rd Gen) - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 2 camera system",4.3 out of 5 stars,"108,291",$63.92
"INSIGNIA 24-inch Class F20 Series Smart HD 720p Fire TV with Alexa Voice Remote (NS-24F201NA23, 2022 Model)",4.6 out of 5 stars,"11,940",$69.99
"Certified Refurbished Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",4.5 out of 5 stars,"3,918",$18.99
